Referring Domain,In Semrush Audit,In Ahrefs Live,Current Action,Link-Level Rows (new),Dead/Unreachable Links,Redirect Hosts,Brand-Owned Hop,Ahrefs Traffic,Ahrefs Positions,Ahrefs Follow Links,Ahrefs is_spam,IP,Generated Family
angelinsblog.com,False,True,NOT_AUDITED,0,0,,False,0,0,8,True,104.21.14.2,
angelovertti.com.br,False,True,NOT_AUDITED,0,0,,False,29,7,1,True,186.202.153.4,
angrylionfitness.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,0,0,1,False,50.6.248.22,
anjana.co.in,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,0,0,0,False,68.178.236.247,
anoodlife.com,True,True,REVIEW_MANUALLY,0,0,,False,0,0,1,True,72.61.234.81,
anosce.best,False,True,NOT_AUDITED,0,0,,False,0,0,0,False,172.67.182.94,
anruibio.com,True,True,KEEP_AFFILIATE_RETAIN,0,0,,False,0,0,132,False,37.44.245.192,
answerblogs.com,False,True,NOT_AUDITED,0,0,,False,0,0,6,True,104.21.79.131,
answeregy.com,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,172.67.183.173,
anythinggoes.online,False,True,NOT_AUDITED,0,0,,False,0,0,0,False,108.160.146.92,
anytimefitness.com,True,True,KEEP_AFFILIATE_RETAIN,3,0,,False,1187142,52125,2,False,45.60.14.62,
anywherenurse.com,True,False,KEEP_AFFILIATE_RETAIN,1,0,,False,,,0,False,,
aol.co.uk,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,782013,8208,0,False,87.248.114.11,
aol.com,False,True,NOT_AUDITED,1,0,,False,8299792,171156,0,False,87.248.114.12,
apartstyle.com,False,True,NOT_AUDITED,0,0,,False,4246,1645,0,False,216.150.16.65,
apental.net,True,False,KEEP_AFFILIATE_RETAIN,1,1,,False,,,0,False,,
apexelements.monster,True,True,REVIEW_MANUALLY,0,0,,False,0,0,2,False,104.21.86.40,
apexelements.site,True,True,REVIEW_MANUALLY,0,0,,False,0,0,2,True,104.21.20.66,
apiburger.com,True,False,REVIEW_MANUALLY,0,0,,False,,,0,False,,
apollotechnical.com,True,True,KEEP_AFFILIATE_RETAIN,2,0,,False,1839,784,1,False,104.17.145.110,
applefritter.com,True,False,KEEP_AFFILIATE_RETAIN,1,0,,False,,,0,False,,
appsrankings.com,True,True,REVIEW_MANUALLY,0,0,,False,830,168,0,False,172.67.69.70,
appsupports.co,True,False,REVIEW_MANUALLY,177,0,drect.net,False,,,0,False,,
apteka911.ua,True,True,KEEP_AFFILIATE_RETAIN,2,0,,False,1788586,131517,2,False,65.21.216.233,
apygis.pics,False,True,NOT_AUDITED,0,0,,False,0,0,0,False,188.114.96.2,
aquafit-en.com,True,True,KEEP_AFFILIATE_RETAIN,2,0,,False,0,0,1,False,172.67.165.21,
arabianbodybuilding.com,True,False,KEEP_AFFILIATE_RETAIN,1,0,,False,,,0,False,,
arabicwebdirectory.com,True,False,DISAVOW,1,0,,False,,,0,False,,
arcade-directory.com,True,True,DISAVOW,0,0,,False,0,0,4,True,104.21.55.211,
archive-hu.com,False,True,NOT_AUDITED,0,0,,False,0,0,6,True,104.21.38.108,
archivemarketresearch.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,11,10,1,False,104.26.6.150,
arlinkdirectory.com,True,True,DISAVOW,2,0,,False,0,0,4,True,104.21.0.234,
armfighter.com,True,True,KEEP_AFFILIATE_RETAIN,22,0,nutropic.com,False,220,50,15,False,66.42.115.130,
armyprt.com,True,False,KEEP_AFFILIATE_RETAIN,1,0,,False,,,0,False,,
arparquets.it,True,True,REVIEW_MANUALLY,14,0,,False,5,1,0,True,77.111.241.90,
arteza.fr,True,False,REVIEW_MANUALLY,1,0,testolabpro.com,True,,,0,False,,
artichokeyinkpress.com,True,True,KEEP_AFFILIATE_RETAIN,4,0,,False,0,0,0,False,23.226.8.130,
articlement.com,True,True,KEEP_AFFILIATE_RETAIN,2,0,,False,0,0,4,True,172.67.160.66,
articlesblogger.com,True,True,DISAVOW,13,0,nutropic.com,False,0,0,13,True,172.67.167.240,
artinci.com,True,True,KEEP_AFFILIATE_RETAIN,0,0,,False,9409,1924,1,False,23.227.38.74,
artofhealthyliving.com,True,False,KEEP_AFFILIATE_RETAIN,1,0,,False,,,0,False,,
arvosteluja24.fi,True,True,KEEP_AFFILIATE_RETAIN,3,0,,False,75,36,1,False,87.233.202.178,
ashleyknowsrealestate.com,True,False,REVIEW_MANUALLY,1,0,,False,,,0,False,,
ashthdhatu.com,True,True,REVIEW_MANUALLY,1,0,,False,0,0,3,False,68.66.216.30,
askology.biz,True,True,REVIEW_MANUALLY,0,0,,False,0,0,0,True,104.21.36.162,
aspiration.marketing,True,True,REVIEW_MANUALLY,0,0,,False,1091,264,5,False,172.66.43.42,
assurances.gov.gh,True,False,KEEP_AFFILIATE_RETAIN,3,1,,False,,,0,False,,
astro-solid-hn-edge.netlify.app,True,False,DISAVOW,0,0,,False,,,0,False,,
ateliereleaurorei.ro,True,False,REVIEW_MANUALLY,1,0,,False,,,0,False,,
athleticinsight.com,True,True,KEEP_AFFILIATE_RETAIN,12,0,,False,16240,2388,16,False,104.26.13.30,
atlasmanhealth.com,False,True,NOT_AUDITED,0,0,,False,0,0,1,False,82.198.229.116,
atlaspainspecialists.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,6440,1409,1,False,137.184.113.64,
atleetzone.com,True,True,REVIEW_MANUALLY,5,0,,False,0,0,3,False,141.98.26.36,
atomizelink.icu,True,True,REVIEW_MANUALLY,1,0,nutropic.com,False,0,0,0,True,195.20.19.178,
atouchoffreebies.tripod.com,True,False,REVIEW_MANUALLY,0,0,,False,,,0,False,,
atozbacklinks.com,True,True,DISAVOW,0,0,,False,0,0,0,True,203.161.54.114,
atozentherapies.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,5025,806,1,False,34.149.87.45,
attractmorematches.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,21,31,1,False,159.223.200.62,
atualblog.com,True,False,DISAVOW,0,0,,False,,,0,False,,
atualgym.com.br,False,True,NOT_AUDITED,0,0,,False,0,0,1,False,185.77.97.225,
